Population by country of citizenship, age groups, family status and NUTS 3 region, 2021 ;NUTS3;cens_21ctzf_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21ctzf_r3?format=JSON&geo=SI044&unit=NR&citizen=EU_FOR&citizen=NEU&citizen=FOR&citizen=NAT&citizen=STLS&citizen=TOTAL&citizen=UNK&hhstatus=TOTAL&hhstatus=CPL&hhstatus=PAR1&hhstatus=CH_PAR&hhstatus=NAP&hhstatus=UNK&sex=T&sex=M&sex=F&age=TOTAL&age=Y_LT5&age=Y5-9&age=Y10-14&age=Y_LT15&age=Y15-19&age=Y15-29&age=Y20-24&age=Y25-29&age=Y30-34&age=Y30-49&age=Y35-39&age=Y40-44&age=Y45-49&age=Y50-54&age=Y50-64&age=Y55-59&age=Y60-64&age=Y65-69&age=Y65-84&age=Y70-74&age=Y75-79&age=Y80-84&age=Y85-89&age=Y_GE85&age=Y90-94&age=Y95-99&age=Y_GE100&lang=en 
Population by country of citizenship, age groups, type of housing arrangements and NUTS 3 region, 2021 ;NUTS3;cens_21ctzha_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21ctzha_r3?format=JSON&geo=SI044&unit=NR&citizen=EU_FOR&citizen=NEU&citizen=EUR_NEU&citizen=AFR&citizen=AME_N&citizen=AME_X_N&citizen=ASI&citizen=OCE&citizen=FOR&citizen=NAT&citizen=STLS&citizen=TOTAL&citizen=UNK&housing=TOTAL&housing=H_CV&housing=DW&housing=CLQ&housing=H_NCV&housing=UNK&age=TOTAL&age=Y_LT5&age=Y5-9&age=Y10-14&age=Y_LT15&age=Y15-19&age=Y15-29&age=Y20-24&age=Y25-29&age=Y30-34&age=Y30-49&age=Y35-39&age=Y40-44&age=Y45-49&age=Y50-54&age=Y50-64&age=Y55-59&age=Y60-64&age=Y65-69&age=Y65-84&age=Y70-74&age=Y75-79&age=Y80-84&age=Y85-89&age=Y_GE85&age=Y90-94&age=Y95-99&age=Y_GE100&lang=en 
Population by country of birth, age groups and NUTS 3 region, 2021 ;NUTS3;cens_21cob_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21cob_r3?format=JSON&geo=SI044&unit=NR&c_birth=BE&c_birth=BG&c_birth=CZ&c_birth=DK&c_birth=DE&c_birth=EE&c_birth=IE&c_birth=EL&c_birth=ES&c_birth=FR&c_birth=HR&c_birth=IT&c_birth=CY&c_birth=LV&c_birth=LT&c_birth=LU&c_birth=HU&c_birth=MT&c_birth=NL&c_birth=AT&c_birth=PL&c_birth=PT&c_birth=RO&c_birth=SI&c_birth=SK&c_birth=FI&c_birth=SE&c_birth=EU_OTH&c_birth=IS&c_birth=LI&c_birth=NO&c_birth=CH&c_birth=UK&c_birth=BA&c_birth=ME&c_birth=MD&c_birth=MK&c_birth=GE&c_birth=AL&c_birth=RS&c_birth=TR&c_birth=UA&c_birth=XK&c_birth=AD&c_birth=BY&c_birth=GG&c_birth=JE&c_birth=CQ&c_birth=FO&c_birth=GI&c_birth=VA&c_birth=IM&c_birth=MC&c_birth=RU&c_birth=SM&c_birth=NEU&c_birth=EUR_NEU&c_birth=EUR_OTH&c_birth=AFR&c_birth=AO&c_birth=CM&c_birth=CF&c_birth=TD&c_birth=CG&c_birth=CD&c_birth=GQ&c_birth=GA&c_birth=ST&c_birth=BI&c_birth=KM&c_birth=DJ&c_birth=ER&c_birth=ET&c_birth=KE&c_birth=MG&c_birth=MW&c_birth=MU&c_birth=MZ&c_birth=RW&c_birth=SC&c_birth=SO&c_birth=UG&c_birth=TZ&c_birth=ZM&c_birth=ZW&c_birth=DZ&c_birth=EG&c_birth=LY&c_birth=MA&c_birth=SS&c_birth=SD&c_birth=TN&c_birth=EH&c_birth=BW&c_birth=LS&c_birth=NA&c_birth=ZA&c_birth=SZ&c_birth=BJ&c_birth=BF&c_birth=CV&c_birth=CI&c_birth=GM&c_birth=GH&c_birth=GN&c_birth=GW&c_birth=LR&c_birth=ML&c_birth=MR&c_birth=NE&c_birth=NG&c_birth=SH&c_birth=SN&c_birth=SL&c_birth=TG&c_birth=AFR_OTH&c_birth=AME_N&c_birth=BM&c_birth=CA&c_birth=GL&c_birth=PM&c_birth=US&c_birth=AME_N_OTH&c_birth=AME_X_N&c_birth=AI&c_birth=AG&c_birth=AW&c_birth=BS&c_birth=BB&c_birth=VG&c_birth=KY&c_birth=CU&c_birth=CW&c_birth=DM&c_birth=DO&c_birth=GD&c_birth=HT&c_birth=JM&c_birth=MS&c_birth=BL&c_birth=KN&c_birth=LC&c_birth=MF&c_birth=VC&c_birth=SX&c_birth=TT&c_birth=TC&c_birth=BZ&c_birth=CR&c_birth=SV&c_birth=GT&c_birth=HN&c_birth=MX&c_birth=NI&c_birth=PA&c_birth=AR&c_birth=BO&c_birth=BR&c_birth=CL&c_birth=CO&c_birth=EC&c_birth=FK&c_birth=GY&c_birth=PY&c_birth=PE&c_birth=SR&c_birth=UY&c_birth=VE&c_birth=AME_X_N_OTH&c_birth=ASI&c_birth=KZ&c_birth=KG&c_birth=TJ&c_birth=TM&c_birth=UZ&c_birth=CN&c_birth=JP&c_birth=MN&c_birth=KP&c_birth=KR&c_birth=TW&c_birth=AF&c_birth=BD&c_birth=BT&c_birth=IN&c_birth=IR&c_birth=MV&c_birth=NP&c_birth=PK&c_birth=LK&c_birth=BN&c_birth=KH&c_birth=ID&c_birth=LA&c_birth=MY&c_birth=MM&c_birth=PH&c_birth=SG&c_birth=TH&c_birth=TL&c_birth=VN&c_birth=AM&c_birth=AZ&c_birth=BH&c_birth=IQ&c_birth=IL&c_birth=JO&c_birth=KW&c_birth=LB&c_birth=PS&c_birth=OM&c_birth=QA&c_birth=SA&c_birth=SY&c_birth=AE&c_birth=YE&c_birth=ASI_OTH&c_birth=OCE&c_birth=AU&c_birth=NZ&c_birth=FJ&c_birth=NC&c_birth=PG&c_birth=SB&c_birth=VU&c_birth=KI&c_birth=MH&c_birth=FM&c_birth=NR&c_birth=PW&c_birth=CK&c_birth=PF&c_birth=PN&c_birth=WS&c_birth=TO&c_birth=TV&c_birth=WF&c_birth=OCE_OTH&c_birth=TF&c_birth=FOR&c_birth=NAT&c_birth=TOTAL&c_birth=OTH&c_birth=UNK&sex=T&sex=M&sex=F&age=TOTAL&age=Y_LT5&age=Y5-9&age=Y10-14&age=Y_LT15&age=Y15-19&age=Y15-29&age=Y20-24&age=Y25-29&age=Y30-34&age=Y30-49&age=Y35-39&age=Y40-44&age=Y45-49&age=Y50-54&age=Y50-64&age=Y55-59&age=Y60-64&age=Y65-69&age=Y65-84&age=Y70-74&age=Y75-79&age=Y80-84&age=Y85-89&age=Y_GE85&age=Y90-94&age=Y95-99&age=Y_GE100&lang=en 
Population by country of birth, age groups, household status and NUTS 3 region, 2021 ;NUTS3;cens_21cobhs_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21cobhs_r3?format=JSON&geo=SI044&unit=NR&c_birth=EU_OTH&c_birth=NEU&c_birth=FOR&c_birth=NAT&c_birth=TOTAL&c_birth=OTH&c_birth=UNK&hhstatus=TOTAL&hhstatus=PRV&hhstatus=FAM&hhstatus=NFAM&hhstatus=PRV_UNK&hhstatus=NPRV&hhstatus=IST&hhstatus=NPRV_IHMLS_UNK&sex=T&sex=M&sex=F&age=TOTAL&age=Y_LT5&age=Y5-9&age=Y10-14&age=Y_LT15&age=Y15-19&age=Y15-29&age=Y20-24&age=Y25-29&age=Y30-34&age=Y30-49&age=Y35-39&age=Y40-44&age=Y45-49&age=Y50-54&age=Y50-64&age=Y55-59&age=Y60-64&age=Y65-69&age=Y65-84&age=Y70-74&age=Y75-79&age=Y80-84&age=Y85-89&age=Y_GE85&age=Y90-94&age=Y95-99&age=Y_GE100&lang=en 
Population by country of birth, age groups, type of housing arrangements and NUTS 3 region, 2021 ;NUTS3;cens_21cobha_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21cobha_r3?format=JSON&geo=SI044&unit=NR&c_birth=EU_OTH&c_birth=NEU&c_birth=EUR_NEU&c_birth=AFR&c_birth=AME_N&c_birth=AME_X_N&c_birth=ASI&c_birth=OCE&c_birth=FOR&c_birth=NAT&c_birth=TOTAL&c_birth=OTH&c_birth=UNK&housing=TOTAL&housing=H_CV&housing=DW&housing=CLQ&housing=H_NCV&housing=UNK&age=TOTAL&age=Y_LT5&age=Y5-9&age=Y10-14&age=Y_LT15&age=Y15-19&age=Y15-29&age=Y20-24&age=Y25-29&age=Y30-34&age=Y30-49&age=Y35-39&age=Y40-44&age=Y45-49&age=Y50-54&age=Y50-64&age=Y55-59&age=Y60-64&age=Y65-69&age=Y65-84&age=Y70-74&age=Y75-79&age=Y80-84&age=Y85-89&age=Y_GE85&age=Y90-94&age=Y95-99&age=Y_GE100&lang=en 
Population by marital status, broad age groups and NUTS 3 region, 2021 ;NUTS3;cens_21m_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21m_r3?format=JSON&geo=SI044&unit=NR&marsta=TOTAL&marsta=SIN&marsta=MAR_REP&marsta=WID_DTHREP&marsta=DIV_DISREP&marsta=UNK&age=TOTAL&age=Y_LT15&age=Y15-29&age=Y30-49&age=Y50-64&age=Y65-84&age=Y_GE85&sex=T&sex=M&sex=F&lang=en 
Population by family status, broad age groups and NUTS 3 region, 2021 ;NUTS3;cens_21f_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21f_r3?format=JSON&geo=SI044&unit=NR&age=TOTAL&age=Y_LT15&age=Y15-29&age=Y30-49&age=Y50-64&age=Y65-84&age=Y_GE85&hhstatus=TOTAL&hhstatus=CPL&hhstatus=MAR_REP&hhstatus=MARO_REPO&hhstatus=MARS_REPS&hhstatus=CSU&hhstatus=PAR1&hhstatus=CH_PAR&hhstatus=CH_CPL&hhstatus=CH_PAR1&hhstatus=NAP&hhstatus=UNK&sex=T&sex=M&sex=F&lang=en 
Population by size of the locality, age groups and NUTS 3 region, 2021 ;NUTS3;cens_21l_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21l_r3?format=JSON&geo=SI044&unit=NR&age=TOTAL&age=Y_LT5&age=Y5-9&age=Y10-14&age=Y_LT15&age=Y15-19&age=Y15-29&age=Y20-24&age=Y25-29&age=Y30-34&age=Y30-49&age=Y35-39&age=Y40-44&age=Y45-49&age=Y50-54&age=Y50-64&age=Y55-59&age=Y60-64&age=Y65-69&age=Y65-84&age=Y70-74&age=Y75-79&age=Y80-84&age=Y85-89&age=Y_GE85&age=Y90-94&age=Y95-99&age=Y_GE100&n_person=TOTAL&n_person=LT200&n_person=200-499&n_person=500-999&n_person=1000-1999&n_person=2000-4999&n_person=5000-9999&n_person=10000-19999&n_person=20000-49999&n_person=50000-99999&n_person=100000-199999&n_person=200000-499999&n_person=500000-999999&n_person=GE1000000&sex=T&sex=M&sex=F&lang=en 
Population by size of the locality, housing arrangements and NUTS 3 region, 2021 ;NUTS3;cens_21lha_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21lha_r3?format=JSON&geo=SI044&unit=NR&housing=TOTAL&housing=H_CV&housing=DW&housing=CLQ&housing=H_NCV&housing=UNK&n_person=TOTAL&n_person=LT200&n_person=200-499&n_person=500-999&n_person=1000-1999&n_person=2000-4999&n_person=5000-9999&n_person=10000-19999&n_person=20000-49999&n_person=50000-99999&n_person=100000-199999&n_person=200000-499999&n_person=500000-999999&n_person=GE1000000&sex=T&sex=M&sex=F&lang=en 
Population by year of arrival in the country since 2010, age groups, groups of country of birth and NUTS 3 region, 2021 ;NUTS3;cens_21argc_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21argc_r3?format=JSON&geo=SI044&unit=NR&y_arriv=TOTAL&y_arriv=Y_LE2009&y_arriv=Y_GE2010&y_arriv=UNK&c_birth=EU_OTH&c_birth=NEU&c_birth=FOR&c_birth=NAT&c_birth=TOTAL&c_birth=OTH&c_birth=UNK&age=TOTAL&age=Y_LT5&age=Y5-9&age=Y10-14&age=Y_LT15&age=Y15-19&age=Y15-29&age=Y20-24&age=Y25-29&age=Y30-34&age=Y30-49&age=Y35-39&age=Y40-44&age=Y45-49&age=Y50-54&age=Y50-64&age=Y55-59&age=Y60-64&age=Y65-69&age=Y65-84&age=Y70-74&age=Y75-79&age=Y80-84&age=Y85-89&age=Y_GE85&age=Y90-94&age=Y95-99&age=Y_GE100&sex=T&sex=M&sex=F&lang=en 
